check_number,name,date,species,year,country,discoverer ,lat,long,link,image,ref,ref_link,CHECK
48,Hexian,0.412±0.025,Homo erectus,1980,"Hexian, China",n/a,31.74,118.35,"<a href=""HERE"">Click here for more info</a>",,,,
49,Hofmeyr,36,Homo sapiens,1952,South Africa,n/a,-31.633333,25.8,"<a href=""HERE"">Click here for more info</a>",,,,
50,hominin toe bone,40,Denisovan,2010,Russia,n/a,51.3975,84.676111,"<a href=""HERE"">Click here for more info</a>",,,,
51,Jebel Irhoud 1,286±32,Homo sapiens,1991,Morocco,n/a,31.855,-8.8725,"<a href=""HERE"">Click here for more info</a>",,,,
52,Kabwe 1,299±25,Homo sp.,1921,Zambia,Tom Zwiglaar,-14.46,28.426,"<a href=""HERE"">Click here for more info</a>",,,,
53,Kebara 2,60,Homo neanderthalensis,1983,Israel,Lynne Schepartz,32.558278,34.937306,"<a href=""HERE"">Click here for more info</a>",,,,
54,Kents Cavern 4 maxilla,43.5±2.5,Homo sapiens,1927,UK,n/a,50.4682,-3.503,"<a href=""HERE"">Click here for more info</a>",,,,
55,KGA 10-525,1.4,Paranthropus boisei,1993,"Konso-Gardula, Ethiopia",A. Amzaye,5.25,37.483333,"<a href=""HERE"">Click here for more info</a>",,,,
56,Klasies River Caves,100±25,Homo sapiens,1960,South Africa,"Ray Inskeep, Robin Singer, John Wymer, Hilary Deacon",-34.108103,24.390139,"<a href=""HERE"">Click here for more info</a>",,,,
57,KNM-ER 1470,1.9,Homo rudolfensis,1972,Kenya,Bernard Ngeneo[35],-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
58,KNM-ER 1813,1.9,Homo habilis,1973,Kenya,Kamoya Kimeu,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
59,KNM-ER 23000,1.7,Paranthropus boisei,1990,"Koobi Fora, Kenya",Benson Kyongo,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
60,KNM-ER 3733,1.63±0.15,Homo erectus,1975,Kenya,n/a,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
61,KNM-ER 3883,1.57±0.08,Homo erectus,1976,Kenya,Richard Leakey,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
62,KNM-ER 406,1.7,Paranthropus boisei,1969,Kenya,Richard Leakey,3.947778,36.187222,"<a href=""HERE"">Click here for more info</a>",,,,
63,KNM-ER 62000,1.84±0.60,Homo rudolfensis,2012,"Koobi Fora, Kenya",Elgite Lokorimudang†,3.947778,36.187222,"<a href=""https://africanfossils.org/hominids/knmer-62000"">Click here for more info</a>",,,,
64,KNM-ER 732,1.7,Paranthropus boisei,1970,Kenya,Richard Leakey,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
65,KNM-ER 992,1.5,Homo erectus,1971,Kenya,Richard Leakey,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
66,KNM-KP 271,4,Australopithecus anamensis,1965,"Kanapoi, Kenya",Bryan Patterson[9],3.583333,36.116667,"<a href=""HERE"">Click here for more info</a>",,,,location might be off
67,KNM-LT 329,4.60±0.40,Uncertain,1967,Kenya,"Arnold Lewis,[8] Bryan Patterson[9][10][11]",35.8,3.42,"<a href=""HERE"">Click here for more info</a>",,,,
68,KNM-TH 13150,4.70±0.55,Australopithecus anamensis,1984,Kenya,Kiptalam Cheboi[9],0.666667,36,"<a href=""HERE"">Click here for more info</a>",,,,
69,KNM-WT 15000,1.6,Homo erectus,1984,"Lake Turkana (West Lake Turkana), Kenya",Kamoya Kimeu,4.280806,35.89731,"<a href=""HERE"">Click here for more info</a>",,,,
70,KNM-WT 17000,2.5,Paranthropus aethiopicus,1985,Kenya,Alan Walker,4.280806,35.89731,"<a href=""HERE"">Click here for more info</a>",,,,
71,KNM-WT 40000,"3,50",Kenyanthropus platyops,1999,"Lake Turkana (West Lake Turkana), Kenya",Justus Erus and Meave Leakey[16],3.583333,36.116667,"<a href=""HERE"">Click here for more info</a>",,,,
72,Kocabas,1.1,Homo erectus,2002,Turkey,M. Cihat Al√ßi√ßek,37.816667,29.316667,"<a href=""HERE"">Click here for more info</a>",,,,
73,Kostenki,40Äì37,Homo sapiens,1954,Russia,n/a,52.612222,36.868056,"<a href=""HERE"">Click here for more info</a>",,,,
74,Kow Swamp 1,13Äì9,Homo sapiens,1968,Australia,n/a,-35.953553,144.318123,"<a href=""HERE"">Click here for more info</a>",,,,
75,Krapina 3,113.5±13.5,Homo neanderthalensis,1899,Croatia,Dragutin Gorjanoviƒá-Kramberger,46.164722,15.863611,"<a href=""HERE"">Click here for more info</a>",,,,
76,KSD-VP-1/1,3.58,Australopithecus afarensis,2005,Ethiopia,Yohannes Haile-Selassie,11.19249201,40.63480291,"<a href=""HERE"">Click here for more info</a>",,,,
77,KT-12/H1,"3,50",Australopithecus bahrelghazali,1995,Chad,Mamelbaye Tomalta and Michel Brunet,16.065,18.500833,"<a href=""HERE"">Click here for more info</a>",,,,
78,La Chapelle-aux-Saints 1,60,Homo neanderthalensis,1908,France,A. and J. Bouyssonie and L. Bardon,44.983333,1.716667,"<a href=""HERE"">Click here for more info</a>",,,,
79,La Ferrassie 1,70,Homo neanderthalensis,1909,France,R. Capitan and D. Peyrony,44.951944,0.938056,"<a href=""HERE"">Click here for more info</a>",,,,
80,Lapedo Child,24.5,Uncertain,1998,Portugal,Jo√£o Zilh√£o,39.755392,-8.735256,"<a href=""HERE"">Click here for more info</a>",,,,
81,LB 1 (Hobbit),55±5,Homo floresiensis,2003,"Liang Bua, Indonesia",Peter Brown,-8.534167,120.460278,"<a href=""HERE"">Click here for more info</a>",,,,
